run bestTrain bestTest averageTrain averageTest
K1a 0.9787234042553191 0.9130434782608695 0.9437352245862883 0.9021739130434783
K1b 0.9852941176470589 1 0.9477124183006536 0.9738562091503269
K1c1 0.9375 0.8888888888888888 0.9097222222222222 0.9382716049382717
K1c2 1 1 0.935672514619883 0.9444444444444444
K2a 1 0.3333333333333333 0.6666666666666666 0.4444444444444444
K2b 0.6666666666666666 0.6666666666666666 0.6481481481481483 0.7407407407407408
K2c 0.7142857142857143 0.6666666666666666 0.48148148148148145 0.5925925925925926
K2d 0.8928571428571429 0.375 0.6666666666666666 0.3888888888888889
R- 0.9608540925266904 0.8932038834951457 0.9185448793989719 0.889967637540453
R2a 0.9764705882352941 0.9473684210526315 0.9294117647058824 0.9239766081871346
R2b 0.8333333333333334 0.6470588235294118 0.6435185185185186 0.6470588235294117
R3 1 0 0.9166666666666666 0
